Genome_ID,Trait
GCA_000792325_1,1
GCA_000792345_1,0
GCA_000792365_1,1
GCA_000792385_1,0
GCA_000792425_1,0
GCA_000792605_1,1
GCA_000792625_1,1
GCA_000792665_1,0
GCA_000792725_1,0
GCA_000792745_1,0
GCA_000792765_1,0
GCA_000792785_1,0
GCA_000792845_1,1
GCA_000792855_1,1
GCA_000792945_1,1
GCA_000792965_1,0
GCA_000792975_1,0
GCA_000793045_1,0
GCA_000793055_1,1
GCA_000793105_1,1
GCA_000793135_1,1
GCA_000793165_1,1
GCA_000793185_1,1
GCA_000793205_1,1
GCA_000793225_1,0
GCA_000793245_1,0
GCA_000793255_1,1
GCA_000793285_1,1
GCA_000793295_1,1
GCA_000793315_1,0
GCA_000793365_1,1
GCA_000793385_1,1
GCA_000793395_1,1
GCA_000793445_1,1
GCA_000793485_1,1
GCA_000793505_1,1
GCA_000793595_1,1
GCA_000793615_1,0
GCA_000793645_1,0
GCA_000793745_1,0
GCA_000793765_1,1
GCA_000793825_1,1
GCA_000793845_1,1
GCA_000793865_1,1
GCA_000793885_1,1
GCA_000793915_1,0
GCA_000793945_1,1
GCA_000793955_1,0
GCA_000794005_1,1
GCA_000794045_1,1
GCA_000794055_1,0
GCA_000794085_1,1
GCA_000794095_1,1
GCA_000794195_1,0
GCA_000794245_1,1
GCA_000794265_1,1
GCA_000794285_1,1
GCA_000794305_1,1
GCA_000794325_1,1
GCA_000794405_1,1
GCA_000794425_1,1
GCA_000794445_1,1
GCA_000794455_1,1
GCA_000794485_1,1
GCA_000794515_1,1
GCA_000794555_1,0
GCA_000794605_1,1
GCA_000794735_1,0
GCA_000794785_1,0
GCA_000794845_1,1
GCA_000794925_1,1
GCA_000794965_1,1
GCA_000794995_1,1
GCA_000795025_1,1
GCA_000795045_1,1
GCA_000795085_1,1
GCA_000795115_1,1
GCA_000795145_1,0
GCA_000795165_1,1
GCA_000795205_1,1
GCA_000795235_1,1
GCA_000795285_1,1
GCA_000795305_1,1
GCA_000795325_1,1
GCA_000795345_1,0
GCA_000795405_1,1
GCA_000795605_1,0
GCA_000796205_1,1
GCA_000796225_1,0
GCA_000796285_1,1
GCA_000796295_1,0
GCA_000796325_1,1
GCA_000796345_1,1
GCA_000796365_1,1
GCA_000796385_1,1
GCA_000796405_1,1
GCA_000796425_1,0
GCA_000796445_1,1
GCA_000796465_1,1
GCA_000796475_1,1
GCA_000796505_1,1
GCA_000796525_1,1
GCA_000796555_1,1
GCA_000796585_1,1
GCA_000796615_1,1
GCA_000796655_1,1
GCA_000796685_1,1
GCA_000796745_1,1
GCA_000796765_1,1
GCA_000796785_1,1
GCA_000796795_1,1
GCA_000796825_1,1
GCA_000796875_1,1
GCA_000796925_1,1
GCA_000796945_1,1
GCA_000796955_1,1
GCA_000797005_1,1
GCA_000797045_1,1
GCA_000797055_1,1
GCA_000797105_1,1
GCA_000797125_1,1
GCA_000797145_1,1
GCA_000797165_1,1
GCA_000797225_1,1
GCA_000797245_1,1
GCA_000797265_1,1
GCA_000797285_1,1
GCA_000797325_1,1
GCA_000797355_1,1
GCA_000797395_1,1
GCA_000813565_1,1
GCA_000817865_1,1
GCA_000823905_1,1
GCA_000823925_1,1
GCA_000823945_1,1
GCA_000823965_1,1
GCA_000823985_1,1
GCA_000824005_1,1
GCA_000824025_1,1
GCA_000824045_1,1
GCA_000824065_1,1
GCA_000824085_1,1
GCA_000824105_1,1
GCA_000824125_1,1
GCA_000824145_1,1
GCA_000824165_1,1
GCA_000824185_1,1
GCA_000824205_1,1
GCA_000824225_1,1
GCA_000824245_1,1
GCA_000824265_1,1
GCA_000824285_1,1
GCA_000824305_1,1
GCA_000824325_1,1
GCA_000824345_1,1
GCA_000824365_1,1
GCA_000824385_1,1
GCA_000824405_1,1
GCA_000824425_1,1
GCA_000824445_1,1
GCA_000824465_1,1
GCA_000824485_1,1
GCA_000824505_1,1
GCA_000824525_1,1
GCA_000824545_1,1
GCA_000824565_1,1
GCA_000824585_1,1
GCA_000824605_1,1
GCA_000824625_1,1
GCA_000824645_1,1
GCA_000824665_1,1
GCA_000824685_1,1
GCA_000950725_1,1
GCA_000982125_1,0
GCA_000982155_1,1
GCA_001007215_1,1
GCA_001007275_1,1
GCA_001007425_1,1
GCA_001007475_1,1
GCA_001010535_1,1
GCA_001013395_1,1
GCA_001023615_1,1
GCA_001023625_1,1
GCA_001023635_1,1
GCA_001023685_1,1
GCA_001023705_1,1
GCA_001023735_1,1
GCA_001023755_1,1
GCA_001023765_1,1
GCA_001023815_1,1
GCA_001023835_1,1
GCA_001023845_1,1
GCA_001023875_1,1
GCA_001023895_1,1
GCA_001023915_1,1
GCA_001023925_1,1
GCA_001023975_1,1
GCA_001023985_1,1
GCA_001023995_1,1
GCA_001024035_1,1
GCA_001024055_1,1
GCA_001024065_1,1
GCA_001024075_1,1
GCA_001024115_1,1
GCA_001024125_1,1
GCA_001024135_1,1
GCA_001024145_1,1
GCA_001024205_1,1
GCA_001024215_1,1
GCA_001024235_1,1
GCA_001024275_1,1
GCA_001024285_1,1
GCA_001024305_1,1
GCA_001024325_1,1
GCA_001024355_1,1
GCA_001024365_1,1
GCA_001024375_1,1
GCA_001024395_1,1
GCA_001024435_1,1
GCA_001024445_1,1
GCA_001024455_1,1
GCA_001024495_1,1
GCA_001024515_1,1
GCA_001024535_1,1
GCA_001024545_1,1
GCA_001024585_1,1
GCA_001024615_1,1
GCA_001024635_1,1
GCA_001024645_1,1
GCA_001024655_1,1
GCA_001024715_1,1
GCA_001024725_1,1
GCA_001024755_1,1
GCA_001024765_1,1
GCA_001024775_1,1
GCA_001024805_1,1
GCA_001024835_1,1
GCA_001024845_1,1
GCA_001024855_1,1
GCA_001024875_1,1
GCA_001024925_1,1
GCA_001024945_1,1
GCA_001024955_1,1
GCA_001024995_1,1
GCA_001034665_1,1
GCA_001034745_1,1
GCA_001034755_1,1
GCA_001034765_1,1
GCA_001034785_1,1
GCA_001034825_1,1
GCA_001034855_1,1
GCA_001034875_1,1
GCA_001034905_1,1
GCA_001034955_1,1
GCA_001035005_1,1
GCA_001035075_1,1
GCA_001035105_1,1
GCA_001035225_1,1
GCA_001035285_1,1
GCA_001035305_1,1
GCA_001035315_1,1
GCA_001035325_1,1
GCA_001035365_1,1
GCA_001035385_1,1
GCA_001035395_1,1
GCA_001035415_1,1
GCA_001035445_1,1
GCA_001035465_1,1
GCA_001035485_1,1
GCA_001035525_1,1
GCA_001035535_1,1
GCA_001035565_1,1
GCA_001035575_1,1
GCA_001035605_1,1
GCA_001035635_1,1
GCA_001035645_1,1
GCA_001035685_1,1
GCA_001035705_1,1
GCA_001035715_1,1
GCA_001035725_1,1
GCA_001035765_1,1
GCA_001035785_1,1
GCA_001035795_1,1
GCA_001035805_1,1
GCA_001035845_1,1
GCA_001035865_1,1
GCA_001035875_1,1
GCA_001035885_1,1
GCA_001035925_1,1
GCA_001035945_1,1
GCA_001035955_1,1
GCA_001036005_1,1
GCA_001036025_1,1
GCA_001036035_1,1
GCA_001036145_1,1
GCA_001036155_1,1
GCA_001036185_1,1
GCA_001036195_1,1
GCA_001036225_1,1
GCA_001036255_1,1
GCA_001036265_1,1
GCA_001036335_1,1
GCA_001036355_1,1
GCA_001036385_1,1
GCA_001036405_1,1
GCA_001036415_1,1
GCA_001036425_1,1
GCA_001036465_1,1
GCA_001036485_1,1
GCA_001036495_1,1
GCA_001036505_1,1
GCA_001036565_1,1
GCA_001036585_1,1
GCA_001036645_1,1
GCA_001036655_1,1
GCA_001036685_1,1
GCA_001036735_1,1
GCA_001036765_1,1
GCA_001036775_1,1
GCA_001036805_1,1
GCA_001036815_1,1
GCA_001036835_1,1
GCA_001037185_1,1
GCA_001037195_1,1
GCA_001037225_1,1
GCA_001037235_1,1
GCA_001037315_1,1
GCA_001037345_1,1
GCA_001037355_1,1
GCA_001037385_1,1
GCA_001037395_1,1
GCA_001039325_1,1
GCA_001293085_1,1
GCA_001414085_1,1
GCA_001414105_1,1
GCA_001414155_1,1
GCA_001414165_1,1
GCA_001414175_1,1
GCA_001420525_1,1
GCA_001420535_1,1
GCA_001447845_1,1
GCA_001449145_1,1
GCA_001449155_1,1
GCA_001449165_1,1
GCA_001449175_1,1
GCA_001449225_1,1
GCA_001449245_1,1
GCA_001449255_1,1
GCA_001449275_1,1
GCA_001449305_1,1
GCA_001449325_1,0
GCA_001449365_1,1
GCA_001449385_1,3
GCA_001449395_1,1
GCA_001449425_1,1
GCA_001449465_1,3
GCA_001449485_1,0
GCA_001449505_1,0
GCA_001449515_1,1
GCA_001449545_1,0
GCA_001449555_1,1
GCA_001449585_1,0
GCA_001449625_1,1
GCA_001449645_1,0
GCA_001449655_1,1
GCA_001449675_1,1
GCA_001449705_1,1
GCA_001449725_1,0
GCA_001449735_1,1
GCA_001449765_1,0
GCA_001449785_1,1
GCA_001449805_1,1
GCA_001449825_1,1
GCA_001449835_1,1
GCA_001449865_1,1
GCA_001449885_1,1
GCA_001449905_1,0
GCA_001449925_1,0
GCA_001449935_1,0
GCA_001449965_1,3
GCA_001449985_1,1
GCA_001450015_1,1
GCA_001450045_1,1
GCA_001450065_1,0
GCA_001450085_1,1
GCA_001450095_1,1
GCA_001450115_1,0
GCA_001450145_1,0
GCA_001450165_1,3
GCA_001450185_1,1
GCA_001450195_1,1
GCA_001450225_1,1
GCA_001450245_1,1
GCA_001450265_1,0
GCA_001450275_1,0
GCA_001450305_1,0
GCA_001450325_1,1
GCA_001450345_1,1
GCA_001450385_1,1
GCA_001450405_1,1
GCA_001450425_1,0
GCA_001450465_1,3
GCA_001450485_1,0
GCA_001450505_1,0
GCA_001450525_1,1
GCA_001450545_1,0
GCA_001450555_1,1
GCA_001450585_1,1
GCA_001450605_1,0
GCA_001450635_1,1
GCA_001450665_1,1
GCA_001450675_1,0
GCA_001450705_1,1
GCA_001450745_1,1
GCA_001450755_1,0
GCA_001450785_1,1
GCA_001450795_1,1
GCA_001450825_1,1
GCA_001450835_1,1
GCA_001450865_1,0
GCA_001450875_1,1
GCA_001450905_1,0
GCA_001450915_1,0
GCA_001450925_1,0
GCA_001450935_1,0
GCA_001450985_1,1
GCA_001450995_1,0
GCA_001451015_1,1
GCA_001451025_1,1
GCA_001451075_1,1
GCA_001451105_1,1
GCA_001451125_1,0
GCA_001451145_1,0
GCA_001451165_1,1
GCA_001451175_1,1
GCA_001451205_1,1
GCA_001451245_1,1
GCA_001451255_1,1
GCA_001451265_1,1
GCA_001451295_1,0
GCA_001451325_1,1
GCA_001451335_1,1
GCA_001451355_1,1
GCA_001451375_1,1
GCA_001451405_1,1
GCA_001451425_1,0
GCA_001451445_1,1
GCA_001451455_1,1
GCA_001451485_1,0
GCA_001451505_1,0
GCA_001451525_1,1
GCA_001451535_1,1
GCA_001451565_1,1
GCA_001451575_1,1
GCA_001451605_1,0
GCA_001451655_1,1
GCA_001451685_1,1
GCA_001451705_1,1
GCA_001451725_1,0
GCA_001451755_1,1
GCA_001451785_1,0
GCA_001451815_1,0
GCA_001451865_1,1
GCA_001451885_1,0
GCA_001451895_1,1
GCA_001451905_1,1
GCA_001451945_1,3
GCA_001451965_1,0
GCA_001451975_1,1
GCA_001452025_1,0
GCA_001452045_1,0
GCA_001452055_1,0
GCA_001452075_1,1
GCA_001452105_1,0
GCA_001452135_1,1
GCA_001452155_1,0
GCA_001452185_1,0
GCA_001452205_1,1
GCA_001452215_1,0
GCA_001452235_1,1
GCA_001452255_1,1
GCA_001452285_1,0
GCA_001452305_1,0
GCA_001452335_1,1
GCA_001452365_1,1
GCA_001452385_1,1
GCA_001452405_1,0
GCA_001452415_1,1
GCA_001452445_1,0
GCA_001452465_1,0
GCA_001452495_1,1
GCA_001452545_1,1
GCA_001452565_1,0
GCA_001452575_1,0
GCA_001452605_1,1
GCA_001452615_1,1
GCA_001452645_1,1
GCA_001452675_1,0
GCA_001452725_1,1
GCA_001452745_1,0
GCA_001452755_1,1
GCA_001452805_1,0
GCA_001452825_1,0
GCA_001452835_1,1
GCA_001452865_1,1
GCA_001452885_1,0
GCA_001452915_1,1
GCA_001452935_1,0
GCA_001452985_1,3
GCA_001452995_1,0
GCA_001453065_1,1
GCA_001453075_1,1
GCA_001453095_1,1
GCA_001453145_1,1
GCA_001453155_1,1
GCA_001453185_1,1
GCA_001453205_1,1
GCA_001453225_1,1
GCA_001453235_1,1
GCA_001453265_1,1
GCA_001453305_1,1
GCA_001453315_1,1
GCA_001453345_1,0
GCA_001453365_1,0
GCA_001453385_1,1
GCA_001453405_1,0
GCA_001453415_1,0
GCA_001453435_1,1
GCA_001453465_1,1
GCA_001453485_1,0
GCA_001453495_1,0
GCA_001453515_1,1
GCA_001453545_1,1
GCA_001453585_1,1
GCA_001453595_1,0
GCA_001453615_1,0
GCA_001453645_1,1
GCA_001453665_1,1
GCA_001453675_1,1
GCA_001453705_1,0
GCA_001453725_1,0
GCA_001453735_1,1
GCA_001453755_1,1
GCA_001453775_1,1
GCA_001453825_1,0
GCA_001453905_1,1
GCA_001453915_1,1
GCA_001453945_1,1
GCA_001453985_1,1
GCA_001454045_1,0
GCA_001454065_1,0
GCA_001454085_1,0
GCA_001454095_1,0
GCA_001454125_1,1
GCA_001454145_1,1
GCA_001454165_1,0
GCA_001454175_1,1
GCA_001454225_1,1
GCA_001454235_1,0
GCA_001454305_1,0
GCA_001454325_1,1
GCA_001454335_1,1
GCA_001454365_1,0
GCA_001454395_1,1
GCA_001454415_1,1
GCA_001454445_1,1
GCA_001454495_1,1
GCA_001454545_1,1
GCA_001454565_1,1
GCA_001454595_1,0
GCA_001454645_1,1
GCA_001454675_1,3
GCA_001454705_1,1
GCA_001454725_1,1
GCA_001454745_1,1
GCA_001454755_1,0
GCA_001454785_1,1
GCA_001469435_3,0
GCA_001471435_2,0
GCA_001482325_1,1
GCA_001482885_1,1
GCA_001483235_1,1
GCA_001500235_1,1
GCA_001500245_1,1
GCA_001518975_1,1
GCA_001535675_2,1
GCA_001545175_1,1
GCA_001545205_1,1
GCA_001545255_1,1
GCA_001554305_1,0
GCA_001554315_1,1
GCA_001554325_1,1
GCA_001554375_1,0
GCA_001554385_1,1
GCA_001554395_1,0
GCA_001554425_1,0
GCA_001554455_1,0
GCA_001554465_1,1
GCA_001554495_1,1
GCA_001554505_1,1
GCA_001554575_1,0
GCA_001554585_1,1
GCA_001554655_1,1
GCA_001554665_1,1
GCA_001554695_1,1
GCA_001554705_1,1
GCA_001554735_1,1
GCA_001554745_1,1
GCA_001554775_1,0
GCA_001554785_1,0
GCA_001554805_1,0
GCA_001554825_1,1
GCA_001554855_1,1
GCA_001554875_1,1
GCA_001554895_1,1
GCA_001554915_1,1
GCA_001554935_1,1
GCA_001554955_1,1
GCA_001554975_1,1
GCA_001554995_1,1
GCA_001555015_1,1
GCA_001555035_1,1
GCA_001555055_1,1
GCA_001555075_1,1
GCA_001555095_1,1
GCA_001555115_1,1
GCA_001555135_1,1
GCA_001555155_1,1
GCA_001555165_1,1
GCA_001555215_1,1
GCA_001555225_1,1
GCA_001555235_1,1
GCA_001555255_1,1
GCA_001555295_1,1
GCA_001555315_1,1
GCA_001555325_1,1
GCA_001555335_1,1
GCA_001555375_1,1
GCA_001555415_1,1
GCA_001555425_1,1
GCA_001555455_1,1
GCA_001619935_1,1
GCA_001623945_1,0
GCA_001623955_1,0
GCA_001632245_1,0
GCA_001679685_1,1
GCA_001679905_1,0
GCA_001680745_1,0
GCA_001687285_1,1
GCA_001721745_1,0
GCA_001721765_1,0
GCA_001721785_1,0
GCA_001721805_1,0
GCA_001721825_1,0
GCA_001721845_1,0
GCA_001722005_2,0
GCA_001722025_1,0
GCA_001722045_1,0
GCA_001729505_1,1
GCA_001750705_1,1
GCA_001765455_1,1
GCA_001765475_1,1
GCA_001765535_1,1
GCA_001765545_1,1
GCA_001765575_1,1
GCA_001765585_1,1
GCA_001765595_1,1
GCA_001765645_1,1
GCA_001765655_1,1
GCA_001765695_1,1
GCA_001765715_1,1
GCA_001765725_1,1
GCA_001765755_1,1
GCA_001765775_1,1
GCA_001765795_1,1
GCA_001765805_1,1
GCA_001765845_1,1
GCA_001765855_1,1
GCA_001765865_1,1
GCA_001765915_1,1
GCA_001765925_1,1
GCA_001765955_1,1
GCA_001765975_1,1
GCA_001765985_1,1
GCA_001765995_1,1
GCA_001766035_1,1
GCA_001766045_1,1
GCA_001766075_1,1
GCA_001766085_1,1
GCA_001766115_1,1
GCA_001766135_1,1
GCA_001766145_1,1
GCA_001766195_1,1
GCA_001792835_1,1
GCA_001792855_1,1
GCA_001792875_1,1
GCA_001802735_1,1
GCA_001806505_1,1
GCA_001811215_1,1
GCA_001811975_1,1
GCA_001812145_1,1
GCA_001813995_1,1
GCA_001836505_1,1
GCA_001836645_1,1
GCA_001837545_1,1
GCA_001870265_1,1
GCA_001874465_1,0
GCA_001900195_1,1
GCA_001900225_1,1
GCA_001990285_1,1
GCA_001990295_1,1
GCA_001990325_1,1
GCA_001990335_1,1
GCA_001990345_1,1
GCA_001990375_1,1
GCA_001990405_1,1
GCA_001990425_1,1
GCA_001990445_1,1
GCA_001990525_1,1
GCA_002001225_1,1
GCA_002001235_1,1
GCA_002001265_1,1
GCA_002001275_1,1
GCA_002001305_1,1
GCA_002001315_1,1
GCA_002001385_1,1
GCA_002002365_1,0
GCA_002002765_1,0
GCA_002005765_1,1
GCA_002025525_1,0
GCA_002025555_1,0
GCA_002085755_1,0
GCA_002088215_1,0
GCA_002104595_1,0
GCA_002104615_1,0
GCA_002134835_1,0
GCA_002134845_1,0
GCA_002134885_1,0
GCA_002134895_1,0
GCA_002134905_1,0
GCA_002134915_1,0
GCA_002134965_1,0
GCA_002134975_1,0
GCA_002134985_1,0
GCA_002135615_1,1
GCA_002135625_1,1
GCA_002135635_1,0
GCA_002135675_1,0
GCA_002135685_1,0
GCA_002135705_1,1
GCA_002135715_1,1
GCA_002135755_1,1
GCA_002135795_1,1
GCA_002135835_1,1
GCA_002135845_1,1
GCA_002135875_1,1
GCA_002135885_1,1
GCA_002135915_1,1
GCA_002135955_1,1
GCA_002135965_1,1
GCA_002135995_1,1
GCA_002136005_1,1
GCA_002136015_1,1
GCA_002136055_1,1
GCA_002136065_1,1
GCA_002136075_1,1
GCA_002136115_1,1
GCA_002136125_1,1
GCA_002136135_1,1
GCA_002136165_1,1
GCA_002136195_1,1
GCA_002136205_1,1
GCA_002136215_1,1
GCA_002136245_1,0
GCA_002136275_1,1
GCA_002136285_1,0
GCA_002136295_1,0
GCA_002136335_1,0
GCA_002136355_1,0
GCA_002136365_1,0
GCA_002136375_1,1
GCA_002136415_1,1
GCA_002136445_1,1
GCA_002136455_1,0
GCA_002136495_1,1
GCA_002136515_1,1
GCA_002136525_1,0
GCA_002136535_1,0
GCA_002154915_1,1
GCA_002188505_1,0
GCA_002188565_1,1
GCA_002189115_1,0
GCA_002189505_1,1
GCA_002192475_1,0
GCA_002192495_1,0
GCA_002192775_1,1
GCA_002193675_1,1
GCA_002193685_1,1
GCA_002193735_1,1
GCA_002193745_1,1
GCA_002193755_1,1
GCA_002193765_1,1
GCA_002193825_1,0
GCA_002193845_1,1
GCA_002193895_1,1
GCA_002193915_1,1
GCA_002193925_1,1
GCA_002193975_1,0
GCA_002194075_1,1
GCA_002194085_1,1
GCA_002194095_1,1
GCA_002201225_1,0
GCA_002201255_1,0
GCA_002201295_1,0
GCA_002201375_1,0
GCA_002201405_1,0
GCA_002204155_1,1
GCA_002205335_1,1
GCA_002205355_1,0
GCA_002205375_1,1
GCA_002206285_2,1
GCA_002216325_1,1
GCA_002216335_1,1
GCA_002216345_1,1
GCA_002216355_1,1
GCA_002216405_1,1
GCA_002216425_1,1
GCA_002216445_1,1
GCA_002216465_1,0
GCA_002216485_1,1
GCA_002216505_1,1
GCA_002237405_1,0
GCA_002237425_1,0
GCA_002239425_1,1
GCA_002239445_1,1
GCA_002239465_1,1
GCA_002239485_1,1
GCA_002239545_1,0
GCA_002239565_1,1
GCA_002242775_1,0
GCA_002242855_1,0
GCA_002242885_1,1
GCA_002242915_1,1
GCA_002243265_1,1
GCA_002251125_1,1
GCA_002263545_1,0
GCA_002263575_1,0
GCA_002263585_1,0
GCA_002263615_1,0
GCA_002263645_1,0
GCA_002263685_1,1
GCA_002276485_1,1
GCA_002285345_1,1
GCA_002285355_1,1
GCA_002285375_1,1
GCA_002287725_2,0
GCA_002312055_1,1
GCA_002312065_1,1
GCA_002312095_1,1
GCA_002312115_1,1
GCA_002312145_1,0
GCA_002312175_1,0
GCA_002312195_1,0
GCA_002312215_1,0
GCA_002312235_1,1
GCA_002312245_1,0
GCA_002312275_1,0
GCA_002312295_1,0
GCA_002312315_1,0
GCA_002312335_1,0
GCA_002312375_1,1
GCA_002312385_1,1
GCA_002312405_1,1
GCA_002312415_1,1
GCA_002312455_1,1
GCA_002312465_1,1
GCA_002312495_1,1
GCA_002312505_1,1
GCA_002312535_1,1
GCA_002312545_1,1
GCA_002312585_1,0
GCA_002312615_1,1
GCA_002312645_1,0
GCA_002312675_1,0
GCA_002312685_1,0
GCA_002312695_1,1
GCA_002312705_1,1
GCA_002312755_1,1
GCA_002312765_1,1
GCA_002312795_1,1
GCA_002325925_1,1
GCA_002325965_1,1
GCA_002325985_1,1
GCA_002326025_1,0
GCA_002326045_1,0
GCA_002326055_1,0
GCA_002326085_1,1
GCA_002326115_1,1
GCA_002326125_1,1
GCA_002326165_1,0
GCA_002326195_1,1
GCA_002326205_1,1
GCA_002326245_1,1
GCA_002326265_1,1
GCA_002326275_1,1
GCA_002326305_1,1
GCA_002326325_1,1
GCA_002326345_1,1
GCA_002326355_1,1
GCA_002326365_1,1
GCA_002326395_1,1
GCA_002326425_1,0
GCA_002326435_1,1
GCA_002326445_1,0
GCA_002326455_1,1
GCA_002326505_1,1
GCA_002326515_1,1
GCA_002326525_1,1
GCA_002326535_1,1
GCA_002326585_1,1
GCA_002326595_1,1
GCA_002326605_1,1
GCA_002326665_1,1
GCA_002326675_1,1
GCA_002326685_1,1
GCA_002326725_1,1
GCA_002326745_1,1
GCA_002329725_1,1
GCA_002329735_1,1
GCA_002329765_1,1
GCA_002329775_1,1
GCA_002329805_1,1
GCA_002329815_1,1
GCA_002329845_1,1
GCA_002329865_1,1
GCA_002329885_1,1
GCA_002329905_1,1
GCA_002329925_1,1
GCA_002329935_1,1
GCA_002329965_1,1
GCA_002329975_1,1
GCA_002330005_1,1
GCA_002330015_1,1
GCA_002330045_1,1
GCA_002330065_1,1
GCA_002330075_1,1
GCA_002330095_1,1
GCA_002330125_1,1
GCA_002330135_1,1
GCA_002330165_1,1
GCA_002330175_1,1
GCA_002330205_1,1
GCA_002330215_1,1
GCA_002330235_1,1
GCA_002330255_1,0
GCA_002330275_1,1
GCA_002330305_1,1
GCA_002330315_1,0
GCA_002330355_1,1
GCA_002330385_1,1
GCA_002330395_1,0
GCA_002330425_1,0
GCA_002330435_1,1
GCA_002330465_1,1
GCA_002330475_1,1
GCA_002330505_1,0
GCA_002330515_1,1
GCA_002330525_1,0
GCA_002330555_1,1
GCA_002330585_1,1
GCA_002330595_1,1
GCA_002330625_1,1
GCA_002330665_1,1
GCA_002330695_1,0
GCA_002330725_1,1
GCA_002330735_1,1
GCA_002330775_1,1
GCA_002330805_1,1
GCA_002330815_1,1
GCA_002330835_1,1
GCA_002330865_1,1
GCA_002330875_1,1
GCA_002330885_1,1
GCA_002330925_1,1
GCA_002330955_1,0
GCA_002331985_1,0
GCA_002331995_1,0
GCA_002332015_1,1
GCA_002332035_1,1
GCA_002332065_1,0
GCA_002332085_1,0
GCA_002332095_1,1
GCA_002332125_1,1
GCA_002332135_1,1
GCA_002332165_1,1
GCA_002332175_1,1
GCA_002338845_1,0
GCA_002379565_1,0
GCA_002411865_3,1
GCA_002411915_1,0
GCA_002516415_1,1
GCA_002591765_1,1
GCA_002724075_1,0
GCA_002812865_1,1
GCA_002812885_1,1
GCA_002812905_2,0
GCA_002812925_3,0
GCA_002866725_1,0
